// Oligomer domains file for 512 8-base-pair duplexes example.
Duplex-1-Top	Domain-1
Duplex-388-Top	Domain-388
Duplex-388-Bottom	c.Domain-388
Duplex-389-Top	Domain-389
Duplex-389-Bottom	c.Domain-389
Duplex-390-Top	Domain-390
Duplex-390-Bottom	c.Domain-390
Duplex-391-Top	Domain-391
Duplex-391-Bottom	c.Domain-391
Duplex-392-Top	Domain-392
Duplex-392-Bottom	c.Domain-392
Duplex-393-Top	Domain-393
Duplex-393-Bottom	c.Domain-393
Duplex-394-Top	Domain-394
Duplex-394-Bottom	c.Domain-394
Duplex-395-Top	Domain-395
Duplex-395-Bottom	c.Domain-395
Duplex-396-Top	Domain-396
Duplex-396-Bottom	c.Domain-396
Duplex-397-Top	Domain-397
Duplex-397-Bottom	c.Domain-397
Duplex-398-Top	Domain-398
Duplex-398-Bottom	c.Domain-398
Duplex-399-Top	Domain-399
Duplex-399-Bottom	c.Domain-399
Duplex-400-Top	Domain-400
Duplex-400-Bottom	c.Domain-400
Duplex-401-Top	Domain-401
Duplex-401-Bottom	c.Domain-401
Duplex-402-Top	Domain-402
Duplex-402-Bottom	c.Domain-402
Duplex-403-Top	Domain-403
Duplex-403-Bottom	c.Domain-403
Duplex-404-Top	Domain-404
Duplex-404-Bottom	c.Domain-404
Duplex-405-Top	Domain-405
Duplex-405-Bottom	c.Domain-405
Duplex-406-Top	Domain-406
Duplex-406-Bottom	c.Domain-406
Duplex-407-Top	Domain-407
Duplex-407-Bottom	c.Domain-407
Duplex-408-Top	Domain-408
Duplex-408-Bottom	c.Domain-408
Duplex-409-Top	Domain-409
Duplex-409-Bottom	c.Domain-409
Duplex-410-Top	Domain-410
Duplex-410-Bottom	c.Domain-410
Duplex-411-Top	Domain-411
Duplex-411-Bottom	c.Domain-411
Duplex-412-Top	Domain-412
Duplex-412-Bottom	c.Domain-412
Duplex-413-Top	Domain-413
Duplex-413-Bottom	c.Domain-413
Duplex-414-Top	Domain-414
Duplex-414-Bottom	c.Domain-414
Duplex-415-Top	Domain-415
Duplex-415-Bottom	c.Domain-415
Duplex-416-Top	Domain-416
Duplex-416-Bottom	c.Domain-416
Duplex-417-Top	Domain-417
Duplex-417-Bottom	c.Domain-417
Duplex-418-Top	Domain-418
Duplex-418-Bottom	c.Domain-418
Duplex-419-Top	Domain-419
Duplex-419-Bottom	c.Domain-419
Duplex-420-Top	Domain-420
Duplex-420-Bottom	c.Domain-420
Duplex-421-Top	Domain-421
Duplex-421-Bottom	c.Domain-421
Duplex-422-Top	Domain-422
Duplex-422-Bottom	c.Domain-422
Duplex-423-Top	Domain-423
Duplex-423-Bottom	c.Domain-423
Duplex-424-Top	Domain-424
Duplex-424-Bottom	c.Domain-424
Duplex-425-Top	Domain-425
Duplex-425-Bottom	c.Domain-425
Duplex-426-Top	Domain-426
Duplex-426-Bottom	c.Domain-426
Duplex-427-Top	Domain-427
Duplex-427-Bottom	c.Domain-427
Duplex-428-Top	Domain-428
Duplex-428-Bottom	c.Domain-428
Duplex-429-Top	Domain-429
Duplex-429-Bottom	c.Domain-429
Duplex-430-Top	Domain-430
Duplex-430-Bottom	c.Domain-430
Duplex-431-Top	Domain-431
Duplex-431-Bottom	c.Domain-431
Duplex-432-Top	Domain-432
Duplex-432-Bottom	c.Domain-432
Duplex-433-Top	Domain-433
Duplex-433-Bottom	c.Domain-433
Duplex-434-Top	Domain-434
Duplex-434-Bottom	c.Domain-434
Duplex-435-Top	Domain-435
Duplex-435-Bottom	c.Domain-435
Duplex-436-Top	Domain-436
Duplex-436-Bottom	c.Domain-436
Duplex-437-Top	Domain-437
Duplex-437-Bottom	c.Domain-437
Duplex-438-Top	Domain-438
Duplex-438-Bottom	c.Domain-438
Duplex-439-Top	Domain-439
Duplex-439-Bottom	c.Domain-439
Duplex-440-Top	Domain-440
Duplex-440-Bottom	c.Domain-440
Duplex-441-Top	Domain-441
Duplex-441-Bottom	c.Domain-441
Duplex-442-Top	Domain-442
Duplex-442-Bottom	c.Domain-442
Duplex-443-Top	Domain-443
Duplex-443-Bottom	c.Domain-443
Duplex-444-Top	Domain-444
Duplex-444-Bottom	c.Domain-444
Duplex-445-Top	Domain-445
Duplex-445-Bottom	c.Domain-445
Duplex-446-Top	Domain-446
Duplex-446-Bottom	c.Domain-446
Duplex-447-Top	Domain-447
Duplex-447-Bottom	c.Domain-447
Duplex-448-Top	Domain-448
Duplex-448-Bottom	c.Domain-448
Duplex-449-Top	Domain-449
Duplex-449-Bottom	c.Domain-449
Duplex-450-Top	Domain-450
Duplex-450-Bottom	c.Domain-450
Duplex-451-Top	Domain-451
Duplex-451-Bottom	c.Domain-451
Duplex-452-Top	Domain-452
Duplex-452-Bottom	c.Domain-452
Duplex-453-Top	Domain-453
Duplex-453-Bottom	c.Domain-453
Duplex-454-Top	Domain-454
Duplex-454-Bottom	c.Domain-454
Duplex-455-Top	Domain-455
Duplex-455-Bottom	c.Domain-455
Duplex-456-Top	Domain-456
Duplex-456-Bottom	c.Domain-456
Duplex-457-Top	Domain-457
Duplex-457-Bottom	c.Domain-457
Duplex-458-Top	Domain-458
Duplex-458-Bottom	c.Domain-458
Duplex-459-Top	Domain-459
Duplex-459-Bottom	c.Domain-459
Duplex-460-Top	Domain-460
Duplex-460-Bottom	c.Domain-460
Duplex-461-Top	Domain-461
Duplex-461-Bottom	c.Domain-461
Duplex-462-Top	Domain-462
Duplex-462-Bottom	c.Domain-462
Duplex-463-Top	Domain-463
Duplex-463-Bottom	c.Domain-463
Duplex-464-Top	Domain-464
Duplex-464-Bottom	c.Domain-464
Duplex-465-Top	Domain-465
Duplex-465-Bottom	c.Domain-465
Duplex-466-Top	Domain-466
Duplex-466-Bottom	c.Domain-466
Duplex-467-Top	Domain-467
Duplex-467-Bottom	c.Domain-467
Duplex-468-Top	Domain-468
Duplex-468-Bottom	c.Domain-468
Duplex-469-Top	Domain-469
Duplex-469-Bottom	c.Domain-469
Duplex-470-Top	Domain-470
Duplex-470-Bottom	c.Domain-470
Duplex-471-Top	Domain-471
Duplex-471-Bottom	c.Domain-471
Duplex-472-Top	Domain-472
Duplex-472-Bottom	c.Domain-472
Duplex-473-Top	Domain-473
Duplex-473-Bottom	c.Domain-473
Duplex-474-Top	Domain-474
Duplex-474-Bottom	c.Domain-474
Duplex-475-Top	Domain-475
Duplex-475-Bottom	c.Domain-475
Duplex-476-Top	Domain-476
Duplex-476-Bottom	c.Domain-476
Duplex-477-Top	Domain-477
Duplex-477-Bottom	c.Domain-477
Duplex-478-Top	Domain-478
Duplex-478-Bottom	c.Domain-478
Duplex-479-Top	Domain-479
Duplex-479-Bottom	c.Domain-479
Duplex-480-Top	Domain-480
Duplex-480-Bottom	c.Domain-480
Duplex-481-Top	Domain-481
Duplex-481-Bottom	c.Domain-481
Duplex-482-Top	Domain-482
Duplex-482-Bottom	c.Domain-482
Duplex-483-Top	Domain-483
Duplex-483-Bottom	c.Domain-483
Duplex-484-Top	Domain-484
Duplex-484-Bottom	c.Domain-484
Duplex-485-Top	Domain-485
Duplex-485-Bottom	c.Domain-485
Duplex-486-Top	Domain-486
Duplex-486-Bottom	c.Domain-486
Duplex-487-Top	Domain-487
Duplex-487-Bottom	c.Domain-487
Duplex-488-Top	Domain-488
Duplex-488-Bottom	c.Domain-488
Duplex-489-Top	Domain-489
Duplex-489-Bottom	c.Domain-489
Duplex-490-Top	Domain-490
Duplex-490-Bottom	c.Domain-490
Duplex-491-Top	Domain-491
Duplex-491-Bottom	c.Domain-491
Duplex-492-Top	Domain-492
Duplex-492-Bottom	c.Domain-492
Duplex-493-Top	Domain-493
Duplex-493-Bottom	c.Domain-493
Duplex-494-Top	Domain-494
Duplex-494-Bottom	c.Domain-494
Duplex-495-Top	Domain-495
Duplex-495-Bottom	c.Domain-495
Duplex-496-Top	Domain-496
Duplex-496-Bottom	c.Domain-496
Duplex-497-Top	Domain-497
Duplex-497-Bottom	c.Domain-497
Duplex-498-Top	Domain-498
Duplex-498-Bottom	c.Domain-498
Duplex-499-Top	Domain-499
Duplex-499-Bottom	c.Domain-499
Duplex-500-Top	Domain-500
Duplex-500-Bottom	c.Domain-500
Duplex-501-Top	Domain-501
Duplex-501-Bottom	c.Domain-501
Duplex-502-Top	Domain-502
Duplex-502-Bottom	c.Domain-502
Duplex-503-Top	Domain-503
Duplex-503-Bottom	c.Domain-503
Duplex-504-Top	Domain-504
Duplex-504-Bottom	c.Domain-504
Duplex-505-Top	Domain-505
Duplex-505-Bottom	c.Domain-505
Duplex-506-Top	Domain-506
Duplex-506-Bottom	c.Domain-506
Duplex-507-Top	Domain-507
Duplex-507-Bottom	c.Domain-507
Duplex-508-Top	Domain-508
Duplex-508-Bottom	c.Domain-508
Duplex-509-Top	Domain-509
Duplex-509-Bottom	c.Domain-509
Duplex-510-Top	Domain-510
Duplex-510-Bottom	c.Domain-510
Duplex-511-Top	Domain-511
Duplex-511-Bottom	c.Domain-511
Duplex-512-Top	Domain-512
Duplex-512-Bottom	c.Domain-512
